file_name	synthego_barcode	mother_barcode	source_barcode	mother_well	daughter_barcode	dest_barcode	plate	imaging_barcode	imaging_well	gene_symbol
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	B15	HT000645	dest_plate_1	1	HT001457	M14	DOT1L
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	E15	HT000645	dest_plate_1	1	HT001451	F16	DPY30
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	E15	HT000645	dest_plate_1	1	HT001454	F16	DPY30
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	E15	HT000645	dest_plate_1	1	HT001457	F16	DPY30
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	H15	HT000645	dest_plate_1	1	HT001451	D21	DTX3L
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	H15	HT000645	dest_plate_1	1	HT001454	D21	DTX3L
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	H15	HT000645	dest_plate_1	1	HT001457	D21	DTX3L
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	L16	HT000645	dest_plate_1	1	HT001451	D20	EP400
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	L16	HT000645	dest_plate_1	1	HT001454	D20	EP400
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	L16	HT000645	dest_plate_1	1	HT001457	D20	EP400
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	J16	HT000645	dest_plate_1	1	HT001451	C16	EMSY
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	J16	HT000645	dest_plate_1	1	HT001454	C16	EMSY
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	J16	HT000645	dest_plate_1	1	HT001457	C16	EMSY
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	D16	HT000645	dest_plate_1	1	HT001451	M16	ELAVL1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	D16	HT000645	dest_plate_1	1	HT001454	M16	ELAVL1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	D16	HT000645	dest_plate_1	1	HT001457	M16	ELAVL1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	F16	HT000645	dest_plate_1	1	HT001451	M2	ELOF1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	F16	HT000645	dest_plate_1	1	HT001454	M2	ELOF1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	F16	HT000645	dest_plate_1	1	HT001457	M2	ELOF1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	K16	HT000645	dest_plate_1	1	HT001451	K2	EP300
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	K16	HT000645	dest_plate_1	1	HT001454	K2	EP300
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	K16	HT000645	dest_plate_1	1	HT001457	K2	EP300
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	B16	HT000645	dest_plate_1	1	HT001451	C2	EIF4G1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	B16	HT000645	dest_plate_1	1	HT001454	C2	EIF4G1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	B16	HT000645	dest_plate_1	1	HT001457	C2	EIF4G1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	J17	HT000645	dest_plate_1	1	HT001451	E9	EZH2
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	J17	HT000645	dest_plate_1	1	HT001454	E9	EZH2
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	J17	HT000645	dest_plate_1	1	HT001457	E9	EZH2
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	K17	HT000645	dest_plate_1	1	HT001451	D14	FAAP24
