plate_index,well_index,row,column,cells_n,nuc_area,nuc_round,nuc_micronuclei_n,spots_561_n,spots_561_area,spots_561_int_mean,spots_561_int_sum
HT001451,D14,4,14,697,190.848268334,0.917100791558,0.281205164993,7.34863701578,211.958393113,1608.84750548,362698.33142
HT001451,D15,4,15,710,169.722827978,0.927320108754,0.277464788732,6.1661971831,177.801408451,933.59541853,173141.428169
HT001451,D16,4,16,827,177.365327018,0.924801621967,0.220072551391,7.01451027811,202.217654172,888.405384339,190732.702539
HT001451,D17,4,17,790,171.347517624,0.919465153242,0.288607594937,6.13924050633,177.183544304,803.619842249,142919.550633
HT001451,D18,4,18,792,184.477163458,0.927442917882,0.294191919192,6.77904040404,195.462121212,748.42453662,153257.021465
HT001451,D19,4,19,859,177.743948591,0.92049041608,0.157159487776,6.54132712456,188.626309662,775.506994172,155976.511059
HT001451,D20,4,20,921,185.468842124,0.915632595142,0.192182410423,6.55048859935,189.149837134,813.302250457,151760.74267100001
HT001451,D21,4,21,672,187.060447382,0.919325275599,0.235119047619,6.60267857143,190.474702381,829.037810245,162181.8125
HT001451,D22,4,22,709,187.543804607,0.925714344925,0.166431593794,6.72496473907,194.035260931,842.780497991,168897.45275
HT001451,D23,4,23,858,192.233392514,0.921051791182,0.145687645688,2.7972027972,80.703962704,718.284364207,62816.8414918
HT001451,E2,5,2,833,187.736232032,0.91625114496,0.195678271309,6.02761104442,174.034813926,882.608274127,147453.290516
HT001451,E3,5,3,946,161.381572626,0.91762252342,0.179704016913,5.86152219873,169.05602537,1070.26415938,180630.546512
HT001451,E4,5,4,646,172.053611725,0.9221114411,0.334365325077,6.30650154799,181.808049536,904.492609022,169433.348297
HT001451,E5,5,5,547,184.027414743,0.921540183985,0.312614259598,6.478976234,186.864716636,787.878479265,151301.133455
HT001451,E6,5,6,672,180.18586315,0.919648443567,0.166666666667,7.26488095238,209.327380952,826.191906776,174429.078869
HT001451,E7,5,7,618,167.425432497,0.919946242511,0.218446601942,6.48381877023,186.766990291,707.60704698,140118.414239
HT001451,E8,5,8,1014,175.681777132,0.918165164944,0.18540433925,6.02268244576,173.749506903,795.959867424,141438.127219
HT001451,E9,5,9,532,179.758018787,0.919113202209,0.204887218045,6.53195488722,188.377819549,829.96724018,159845.12406
HT001451,E10,5,10,870,179.839113438,0.920897272934,0.279310344828,5.26781609195,151.997701149,735.67006243,118472.348276
HT001451,E11,5,11,363,202.560143892,0.908521990945,0.325068870523,7.1955922865,207.465564738,1028.53895535,212980.049587
HT001451,E12,5,12,889,183.971834458,0.913370197915,0.205849268841,6.73340832396,194.199100112,902.423989989,180695.296963
HT001451,E13,5,13,742,176.630075275,0.917140824606,0.212938005391,6.75606469003,194.714285714,823.078167691,161087.471698
HT001451,E14,5,14,762,187.883325105,0.923004522425,0.203412073491,6.16797900262,177.919947507,831.926413051,157523.47769
HT001451,E15,5,15,581,196.471570579,0.911845587315,0.419965576592,6.67297762478,192.468158348,1045.90642526,204020.030981
HT001451,E16,5,16,864,163.029299898,0.921974957194,0.207175925926,6.06365740741,174.868055556,777.422496276,145145.215278
HT001451,E17,5,17,852,168.029943727,0.91303369938,0.211267605634,6.28755868545,181.35915493,768.310975389,152567.767606
HT001451,E18,5,18,548,173.911544527,0.92249637735,0.195255474453,6.72445255474,194.063868613,783.643061621,157218.153285
HT001451,E19,5,19,504,181.944114949,0.922854423358,0.255952380952,5.27579365079,152.240079365,893.114719392,133170.974206
HT001451,E20,5,20,582,177.419030119,0.917233544532,0.274914089347,5.67182130584,163.663230241,811.64751523100006,138271.639175
HT001451,E21,5,21,799,193.67505997,0.920805882003,0.19774718398,7.01627033792,202.484355444,750.059797572,156457.339174
HT001451,E22,5,22,147,195.663856217,0.91290569611,0.265306122449,4.25850340136,122.734693878,760.486545891,99972.3061224
HT001451,E23,5,23,637,204.693216276,0.923351235334,0.302982731554,7.19152276295,207.549450549,1600.36244625,334262.062794
HT001451,F2,6,2,912,179.586527901,0.913698460907,0.258771929825,6.33662280702,182.873903509,894.783174972,166527.174342
HT001451,F3,6,3,697,170.33848063,0.921962047157,0.315638450502,6.87087517934,198.06169297,857.844304787,169918.635581
HT001451,F4,6,4,811,177.225780165,0.9272807906,0.152897657213,6.68187422935,192.685573366,813.115490607,154109.051788
HT001451,F5,6,5,776,181.441756218,0.918979402989,0.188144329897,6.61597938144,190.871134021,814.762816743,152301.809278
HT001451,F6,6,6,635,187.263241474,0.922152632661,0.307086614173,6.69133858268,192.988976378,839.001553886,172164.291339
HT001451,F7,6,7,763,178.506316924,0.920294645309,0.16120576671,6.36435124509,183.630406291,752.639414642,141260.779817
HT001451,F8,6,8,847,191.92875785,0.917391028036,0.199527744982,7.71310507674,222.412042503,869.595190194,192429.691854
HT001451,F9,6,9,459,177.867701912,0.915883462607,0.39651416122,6.2614379085,180.470588235,815.512642812,146240.912854
HT001451,F10,6,10,860,183.820056929,0.921091223769,0.153488372093,7.21744186047,208.260465116,762.068655944,163331.222093
HT001451,F11,6,11,808,179.812547625,0.913746805591,0.22400990099,7.35024752475,212.055693069,808.525046047,179132.835396
HT001451,F12,6,12,681,186.207590222,0.917917264329,0.302496328928,6.74449339207,194.472834068,968.754564474,199065.483113
HT001451,F13,6,13,665,168.106894964,0.916324156071,0.172932330827,6.62556390977,191.009022556,784.098833003,161471.335338
HT001451,F14,6,14,778,183.390574244,0.923244471252,0.255784061697,5.81876606684,167.957583548,828.975088204,151170.214653
HT001451,F15,6,15,778,174.278855357,0.924189981531,0.155526992288,6.16452442159,177.813624679,812.066186555,157760.529563
HT001451,F16,6,16,945,177.587491536,0.916468016201,0.240211640212,6.92275132275,199.697354497,777.660017468,159271.02963
HT001451,F17,6,17,584,163.803126455,0.922199456604,0.265410958904,6.63698630137,191.143835616,853.956795526,159955.291096
HT001451,F18,6,18,767,185.987317786,0.916152900299,0.408083441982,7.49674054759,216.181225554,881.049236229,196587.810952
HT001451,F19,6,19,697,180.7196492,0.917525602835,0.255380200861,7.16642754663,206.715925395,888.236517787,183760.919656
HT001451,F20,6,20,571,190.151828485,0.924982992406,0.253940455342,6.20315236427,179.036777583,920.235536085,155473.301226
HT001451,F21,6,21,940,189.663737634,0.923916375271,0.176595744681,7.57127659574,218.417021277,754.423125782,167845.881915
HT001451,F22,6,22,1160,185.165857107,0.917153919329,0.121551724138,6.37327586207,183.907758621,713.062552267,134716.510345
HT001451,F23,6,23,761,188.827186534,0.922997168865,0.183968462549,2.80551905388,81.099868594,733.666145924,66179.4743758
HT001451,G2,7,2,843,174.524556932,0.921407338846,0.228944246738,6.69276393832,193.045077106,897.514686782,175691.417556
HT001451,G3,7,3,705,186.495980421,0.91593333318,0.256737588652,6.65815602837,191.958865248,825.535684782,166623.252482
HT001451,G4,7,4,660,171.249488573,0.918730978049,0.187878787879,6.41515151515,185.060606061,815.017498573,160564.878788
HT001451,G5,7,5,553,181.703558636,0.918200685442,0.448462929476,4.96564195298,143.388788427,881.614944796,126535.960217
HT001451,G6,7,6,642,171.029404708,0.920106320255,0.263239875389,5.67757009346,163.780373832,835.701909233,142970.574766
HT001451,G7,7,7,740,176.256588831,0.918281144263,0.213513513514,6.41756756757,185.082432432,832.290037531,157270.440541
HT001451,G8,7,8,1119,172.075682232,0.918435826547,0.223413762288,6.67739052726,192.559428061,789.132234132,156985.221626
HT001451,G9,7,9,753,177.350662885,0.92500565552,0.179282868526,6.91500664011,199.439575033,830.088215283,176506.176627
HT001451,G10,7,10,907,173.052685059,0.91420185837,0.194046306505,6.54685777288,188.725468578,751.403380333,153110.499449
HT001451,G11,7,11,973,186.871828474,0.914431633066,0.170606372045,6.85817060637,197.81397739,780.134463274,160849.887975
HT001451,G12,7,12,641,181.42933611,0.921033441831,0.294851794072,6.92355694228,199.634945398,932.702131696,187307.567863
HT001451,G13,7,13,698,170.071388882,0.9261735053,0.23782234957,6.2893982808,181.343839542,795.99907347,146662.402579
HT001451,G14,7,14,751,192.531897998,0.920160700928,0.315579227696,7.55659121172,217.906790945,852.394471111,192136.266312
HT001451,G15,7,15,969,179.672543418,0.914728322693,0.236326109391,6.76986584107,195.219814241,744.675398783,151359.987616
HT001451,G16,7,16,892,172.302960621,0.919079162908,0.292600896861,6.11210762332,176.312780269,768.354316346,137471.308296
HT001451,G17,7,17,742,184.511498106,0.921297226184,0.316711590296,6.82210242588,196.477088949,786.586438454,159637.277628
HT001451,G18,7,18,644,171.415077765,0.926344220388,0.268633540373,5.93788819876,171.26552795,961.808704263,180264
HT001451,G19,7,19,772,174.711563215,0.924821536823,0.20207253886,7.5518134715,217.555699482,793.144212558,181333.410622
HT001451,G20,7,20,850,192.081902596,0.913803052812,0.212941176471,7.54941176471,217.721176471,813.282395978,177322.256471
HT001451,G21,7,21,1057,181.351243147,0.926341542311,0.162724692526,6.89782403027,199.064333018,920.020453761,176906.282876
HT001451,G22,7,22,238,222.57725289,0.918807685842,0.235294117647,6.63865546218,191.5,753.884505997,141362.882353
HT001451,G23,7,23,608,208.475007679,0.918230979667,0.266447368421,7.63815789474,220.444078947,1498.01522601,341295.213816
HT001451,H2,8,2,604,164.258197137,0.909205677262,0.254966887417,5.56622516556,160.605960265,832.628751008,139315.721854
HT001451,H3,8,3,810,176.29758616,0.923446824371,0.213580246914,4.98765432099,143.996296296,844.523510597,129094.824691
HT001451,H4,8,4,623,180.710336079,0.913948894101,0.327447833066,6.37078651685,183.739967897,930.728009877,170491.985554
HT001451,H5,8,5,812,182.228563738,0.92494591960500006,0.208128078818,6.66871921182,192.27955665,841.410344636,169375.187192
HT001451,H6,8,6,683,185.718017586,0.918338615719,0.279648609078,7.03660322108,202.773060029,801.9124019,166474.551977
HT001451,H7,8,7,659,178.563097174,0.913285891488,0.216995447648,7.11380880121,205.174506829,755.367864455,161088.490137
HT001451,H8,8,8,1281,176.943324142,0.913299699853,0.16237314598,6.48555815769,187.131147541,762.664712649,146551.411397
HT001451,H9,8,9,864,193.333677129,0.9218784567,0.21875,7.53935185185,217.46875,937.138055023,216785.635417
HT001451,H10,8,10,915,182.647210824,0.915642035757,0.216393442623,7.23278688525,208.642622951,809.043910711,177426.634973
HT001451,H11,8,11,831,159.457716762,0.919912197241,0.170878459687,5.67629362214,163.631768953,1282.0840874,199133.521059
HT001451,H12,8,12,816,183.145159792,0.916976775455,0.213235294118,6.19240196078,178.616421569,792.682831145,141336.198529
HT001451,H13,8,13,852,173.874851166,0.923102324317,0.24765258216,6.44718309859,185.848591549,832.429114891,151818.502347
HT001451,H14,8,14,682,179.112627206,0.9214809125,0.171554252199,6.19648093842,178.690615836,774.511642787,153472.841642
HT001451,H15,8,15,1047,187.98141665,0.921320126464,0.153772683859,6.68767908309,192.911174785,718.129096032,145135.554919
HT001451,H16,8,16,1160,181.048843991,0.905677130221,0.222413793103,7.0724137931,204.018965517,786.325233915,164770.582759
HT001451,H17,8,17,870,176.979768806,0.918256875332,0.222988505747,7.04827586207,203.159770115,753.777093257,160663.886207
HT001451,H18,8,18,738,174.617573484,0.916805589845,0.294037940379,7.0460704607,203.231707317,841.247511071,182638.501355
HT001451,H19,8,19,738,180.474882202,0.918461750962,0.222222222222,6.25880758808,180.62195122,718.987709878,136042.850949
HT001451,H20,8,20,693,181.740054679,0.915336143131,0.275613275613,7.54834054834,217.595959596,804.459119542,178858.02886
HT001451,H21,8,21,955,199.066506771,0.920912658887,0.178010471204,7.3445026178,211.829319372,769.563853688,166743.85445
HT001451,H22,8,22,1079,183.730623736,0.914341770777,0.160333642261,6.57553290083,189.792400371,793.404786379,151213.675626
HT001451,H23,8,23,933,181.368426265,0.923108460372,0.224008574491,2.63665594855,76.1972132905,658.998762313,55910.6966774
HT001451,I2,9,2,794,169.912764693,0.917252800737,0.332493702771,6.66876574307,192.312342569,852.252227096,164974.894207
HT001451,I3,9,3,734,176.811365911,0.922279758943,0.275204359673,5.84741144414,168.735694823,801.950388416,137320.953678
HT001451,I4,9,4,732,186.208137679,0.926175786738,0.218579234973,6.25819672131,180.542349727,901.872781501,164861.004098
HT001451,I5,9,5,764,180.819847963,0.917534216753,0.23167539267,6.23691099476,179.912303665,768.48717531,142456.772251
HT001451,I6,9,6,888,174.134142053,0.924055767633,0.222972972973,6.56756756757,189.458333333,852.1937178,164764.878378
HT001451,I7,9,7,455,163.891369676,0.926459749142,0.21978021978,4.8021978022,138.663736264,1037.4889901,149063.301099
HT001451,I8,9,8,848,170.36340619999999,0.917946790987,0.204009433962,5.12028301887,147.672169811,930.716044313,142976.995283
HT001451,I9,9,9,1105,184.479167796,0.922077210612,0.194570135747,6.85610859729,197.609049774,781.156452622,159161.628959
HT001451,I10,9,10,858,175.253411065,0.922139054726,0.307692307692,6.02331002331,173.741258741,818.300290628,146554.09324
HT001451,I11,9,11,571,184.870564408,0.919252650575,0.320490367776,5.9299474606,171.050788091,847.297725829,152384.245184
HT001451,I12,9,12,750,173.326297254,0.919928276045,0.189333333333,6.7,193.126666667,756.233564002,148465.964
HT001451,I13,9,13,792,188.484067349,0.923415198446,0.166666666667,6.61363636364,190.587121212,767.749194064,147520.710859
HT001451,I14,9,14,934,183.054642429,0.921773535409,0.282655246253,5.95074946467,171.650963597,779.682754626,136979.385439
HT001451,I15,9,15,905,170.729773549,0.917144927553,0.191160220994,6.38453038674,184.152486188,743.842576002,146466.321547
HT001451,I16,9,16,516,187.889729834,0.908247277788,0.800387596899,5.91666666667,170.761627907,1082.36541036,198688.757752
HT001451,I17,9,17,859,182.513135216,0.925566486434,0.263096623981,7.04190919674,202.877764843,808.244027822,174790.667055
HT001451,I18,9,18,581,195.610641621,0.913331909494,0.29604130809,9.01893287435,259.593803787,1127.22745504,311905.63167
HT001451,I19,9,19,682,183.705521757,0.919989809015,0.274193548387,6.8651026393,197.928152493,816.039350817,161599.366569
HT001451,I20,9,20,994,185.433462771,0.916723732131,0.24245472837,6.58853118712,190.086519115,736.097062723,141541.284708
HT001451,I21,9,21,1161,183.016895457,0.920380994775,0.163652024117,6.86993970715,198.142118863,756.170122181,154574.697674
HT001451,I22,9,22,186,196.196812526,0.919709091862,0.258064516129,4.82258064516,138.827956989,965.936571037,124899.408602
HT001451,I23,9,23,680,201.353744744,0.914359600188,0.392647058824,6.91617647059,199.717647059,1737.82322121,363038.808824
HT001451,J2,10,2,534,209.353943703,0.911335086816,0.237827715356,9.29026217228,267.990636704,1622.79352675,485115.230337
HT001451,J3,10,3,727,176.694577694,0.921872899712,0.305364511692,6.25034387895,180.283356259,962.939925915,177144.788171
HT001451,J4,10,4,752,181.988080619,0.91409314122,0.301861702128,7.47074468085,215.446808511,873.570733215,193750.672872
HT001451,J5,10,5,747,173.44214925,0.917781146116,0.218206157965,6.18072289157,178.366800535,848.350514603,155846.593039
HT001451,J6,10,6,945,173.762304911,0.917115336716,0.312169312169,6.37671957672,183.905820106,769.515572065,150138.425397
HT001451,J7,10,7,884,183.299026476,0.911225246167,0.159502262443,6.05429864253,174.667420814,716.686201687,130035.164027
HT001451,J8,10,8,877,195.014025994,0.916477650316,0.348916761688,7.08323831243,204.370581528,2452.35202242,509563.355758
HT001451,J9,10,9,872,177.477579847,0.922274795747,0.270642201835,6.85894495413,197.873853211,819.321920429,167764.683486
HT001451,J10,10,10,843,177.798467535,0.916045741546,0.174377224199,6.6334519573,191.371293001,792.075247694,157262.567023
HT001451,J11,10,11,833,183.612137262,0.918040783538,0.196878751501,6.64465786315,191.774309724,745.77530213,151351.92437
HT001451,J12,10,12,739,174.189180113,0.920673810048,0.152909336942,6.56562922869,189.404600812,773.244868552,153506.565629
HT001451,J13,10,13,976,173.303351461,0.913408895892,0.191598360656,6.54200819672,188.573770492,806.159438672,155715.047131
HT001451,J14,10,14,898,178.114998181,0.920712635852,0.271714922049,6.46102449889,186.300668151,833.25461674,157248.613586
HT001451,J15,10,15,1036,177.348077172,0.913664962972,0.243243243243,5.82722007722,168.067567568,779.890841681,131842.397683
HT001451,J16,10,16,738,178.781121228,0.906942998014,0.257452574526,5.64227642276,162.662601626,866.066948648,147807.745257
HT001451,J17,10,17,893,180.550989601,0.918530688765,0.238521836506,6.58790593505,189.988801792,833.617795909,159703.228443
HT001451,J18,10,18,910,173.788990698,0.915578711229,0.297802197802,6.31098901099,182.062637363,751.580389786,143970.326374
HT001451,J19,10,19,962,186.560729155,0.916012934955,0.238045738046,8.02079002079,231.221413721,773.149946833,194853.641372
HT001451,J20,10,20,789,199.135872521,0.921128604923,0.185044359949,7.11913814956,205.397972117,757.542363308,156078.063371
HT001451,J21,10,21,1001,190.404069544,0.919209045962,0.24975024975,5.97202797203,172.497502498,850.61417805200006,150194.003996
HT001451,J22,10,22,813,179.357909882,0.919654480192,0.125461254613,6.47478474785,186.883148831,783.285894273,145878.142681
HT001451,J23,10,23,865,194.041325195,0.927363692405,0.212716763006,2.69132947977,77.7595375723,689.485939626,57031.7479769
HT001451,K2,11,2,618,165.165534989,0.915320103344,0.197411003236,5.16666666667,149.014563107,781.723052052,125274.614887
HT001451,K3,11,3,650,173.199298973,0.90994652935,0.212307692308,6.67076923077,192.218461538,832.406468818,187488.778462
HT001451,K4,11,4,904,171.603422138,0.916121993067,0.227876106195,5.90818584071,170.439159292,839.262309192,143436.051991
HT001451,K5,11,5,630,166.81047294,0.914892662116,0.295238095238,6.87301587302,197.976190476,822.717189985,168647.203175
HT001451,K6,11,6,765,178.543719551,0.919834375771,0.270588235294,6.27973856209,181.233986928,823.146889815,155285.315033
HT001451,K7,11,7,847,179.436042114,0.91573388575,0.206611570248,6.61629279811,190.841794569,835.307937017,161667.456907
HT001451,K8,11,8,842,178.282585493,0.916530971715,0.226840855107,6.8622327791,197.77672209,846.862649113,172215.786223
HT001451,K9,11,9,936,175.876535158,0.916299333652,0.194444444444,6.625,190.938034188,780.746988998,156914.622863
HT001451,K10,11,10,751,178.626456744,0.916896838937,0.323568575233,6.2689747004,180.69241012,808.626487709,146939.587217
HT001451,K11,11,11,850,176.85112234,0.920475658498,0.194117647059,6.38823529412,184.230588235,755.463435113,149450.331765
HT001451,K12,11,12,685,179.586548429,0.917190503836,0.233576642336,6.7897810219,195.775182482,836.106230215,176967.108029
HT001451,K13,11,13,1028,173.066528863,0.909595839031,0.20719844358,7.20622568093,207.670233463,760.845802212,164128.753891
HT001451,K14,11,14,588,191.075806777,0.923720041805,0.198979591837,6.49659863946,187.544217687,754.411322977,142102.494898
HT001451,K15,11,15,1031,177.143951597,0.915030110049,0.193986420951,6.93113482056,199.957322987,778.345247365,160145.763337
HT001451,K16,11,16,820,170.284704984,0.916208597018,0.19756097561,6.97804878049,201.292682927,790.866479687,161663.926829
HT001451,K17,11,17,792,176.323023109,0.923264053321,0.183080808081,6.53535353535,188.315656566,721.608744353,142277.025253
HT001451,K18,11,18,960,167.16848723,0.919657778873,0.263541666667,6.821875,196.707291667,908.814278718,187203.583333
HT001451,K19,11,19,845,170.033322248,0.922186787183,0.246153846154,6.10769230769,176.013017751,809.813719607,144463.184615
HT001451,K20,11,20,874,176.789362674,0.921821328212,0.231121281465,7.78146453089,224.320366133,1340.40721464,316760.742563
HT001451,K21,11,21,916,186.947426356,0.924378996461,0.170305676856,5.78711790393,166.983624454,764.249581735,129159.965066
HT001451,K22,11,22,116,186.97905634400001,0.901105163618,0.344827586207,4.1724137931,120.284482759,1261.55288831,123616.75
HT001451,K23,11,23,610,189.950790706,0.921907824972,0.260655737705,6.25573770492,180.66229508200001,1547.50206007,294557.018033
HT001451,L2,12,2,828,180.505318046,0.918398643134,0.30193236715,6.43115942029,185.513285024,893.84497558,169389.323671
HT001451,L3,12,3,875,169.740224987,0.916871390515,0.306285714286,5.4,155.808,913.722645796,147343.331429
