Run ID,1579271408
Run Date/Time,2020-01-17 09:40:40
Application Name,Labcyte Echo Cherry Pick
Application Version,1.6.5
Protocol Name,200114_Synthego_Reformatting_Random.ecp
Compound Pick List File Name,C:\Users\nci-lrbge_HCS\Documents\R\R_Scripts\191125_CRISPR_Epigenetics_Reformat\Output\sgRNA_Epigenetics_Library.csv
Control Pick List File Name,
User Name,NCI-LRBGE_HCS

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Well,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,M8,Destination Plate[2],dest_plate_2,I13,1300,1300,53.709,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,L8,Destination Plate[2],dest_plate_2,H12,1300,1300,52.202,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J8,Destination Plate[2],dest_plate_2,N8,1300,1300,52.966,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,E8,Destination Plate[2],dest_plate_2,I2,1300,1300,53.915,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,H8,Destination Plate[2],dest_plate_2,F2,1300,1300,47.206,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J7,Destination Plate[2],dest_plate_2,C3,1300,1300,52.738,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,C7,Destination Plate[2],dest_plate_2,D5,1300,1300,53.255,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,I7,Destination Plate[2],dest_plate_2,K7,1300,1300,51.748,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,O7,Destination Plate[2],dest_plate_2,K10,1300,1300,52.966,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,N6,Destination Plate[2],dest_plate_2,H7,1300,1300,51.81,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G6,Destination Plate[2],dest_plate_2,H5,1300,1300,50.984,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J6,Destination Plate[2],dest_plate_2,B17,1300,1300,52.883,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,K6,Destination Plate[2],dest_plate_2,B21,1300,1300,53.998,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,H5,Destination Plate[2],dest_plate_2,I8,1300,1300,50.282,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J5,Destination Plate[2],dest_plate_2,K8,1300,1300,50.447,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,K5,Destination Plate[2],dest_plate_2,N10,1300,1300,52.202,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,F5,Destination Plate[2],dest_plate_2,M9,1300,1300,49.931,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,D4,Destination Plate[2],dest_plate_2,O10,1300,1300,52.326,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J4,Destination Plate[2],dest_plate_2,M6,1300,1300,52.367,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G4,Destination Plate[2],dest_plate_2,M2,1300,1300,50.137,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,C4,Destination Plate[2],dest_plate_2,F3,1300,1300,51.644,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,O4,Destination Plate[2],dest_plate_2,F7,1300,1300,52.078,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,N4,Destination Plate[2],dest_plate_2,O17,1300,1300,53.316,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,L4,Destination Plate[2],dest_plate_2,M18,1300,1300,51.562,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,I3,Destination Plate[2],dest_plate_2,N18,1300,1300,50.447,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,C3,Destination Plate[2],dest_plate_2,O19,1300,1300,49.353,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,D3,Destination Plate[2],dest_plate_2,E11,1300,1300,50.241,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,E3,Destination Plate[2],dest_plate_2,D3,1300,1300,51.851,100,,AQ,
