Wells: 384
Plates: 4
Plate	Well	Content
*	*	empty
*	[C,E,G,I,K,M,O]22	killer
*	[B,D,F,H,J,L,N]22	neg
*	[C,E,G,I,K,M,O]23	pos
*	[B,D,F,H,J,L,N]23	pos2
3	C19	sample
3	C20	sample
3	D02	sample
3	D03	sample
3	D04	sample
3	D05	sample
3	D06	sample
3	D07	sample
3	D08	sample
3	D09	sample
3	D10	sample
3	D11	sample
3	D12	sample
3	D13	sample
3	D14	sample
3	D15	sample
3	D16	sample
3	D17	sample
3	D18	sample
3	D19	sample
3	D20	sample
3	E02	sample
3	E03	sample
3	E04	sample
3	E05	sample
3	E06	sample
3	E07	sample
3	E08	sample
3	E09	sample
3	E10	sample
3	E11	sample
3	E12	sample
3	E13	sample
3	E14	sample
3	E15	sample
3	E16	sample
3	E17	sample
3	E18	sample
3	E19	sample
3	E20	sample
3	F02	sample
3	F03	sample
3	F04	sample
3	F05	sample
3	F06	sample
3	F07	sample
3	F08	sample
3	F09	sample
3	F10	sample
3	F11	sample
3	F12	sample
3	F13	sample
3	F14	sample
3	F15	sample
3	F16	sample
3	F17	sample
3	F18	sample
3	F19	sample
3	F20	sample
3	G02	sample
3	G03	sample
3	G04	sample
3	G05	sample
3	G06	sample
3	G07	sample
3	G08	sample
3	G09	sample
3	G10	sample
3	G11	sample
3	G12	sample
3	G13	sample
3	G14	sample
3	G15	sample
3	G16	sample
3	G17	sample
3	G18	sample
3	G19	sample
3	G20	sample
3	H02	sample
3	H03	sample
3	H04	sample
3	H05	sample
3	H06	sample
3	H07	sample
3	H08	sample
3	H09	sample
3	H10	sample
3	H11	sample
3	H12	sample
3	H13	sample
3	H14	sample
3	H15	sample
3	H16	sample
3	H17	sample
3	H18	sample
3	H19	sample
3	H20	sample
3	I02	sample
3	I03	sample
3	I04	sample
3	I05	sample
3	I06	sample
3	I07	sample
3	I08	sample
3	I09	sample
3	I10	sample
3	I11	sample
3	I12	sample
3	I13	sample
3	I14	sample
3	I15	sample
3	I16	sample
3	I17	sample
3	I18	sample
3	I19	sample
3	I20	sample
3	J02	sample
3	J03	sample
3	J04	sample
3	J05	sample
3	J06	sample
3	J07	sample
3	J08	sample
3	J09	sample
3	J10	sample
3	J11	sample
3	J12	sample
3	J13	sample
3	J14	sample
3	J15	sample
3	J16	sample
3	J17	sample
3	J18	sample
3	J19	sample
3	J20	sample
3	K02	sample
3	K03	sample
3	K04	sample
3	K05	sample
3	K06	sample
3	K07	sample
3	K08	sample
3	K09	sample
3	K10	sample
3	K11	sample
3	K12	sample
3	K13	sample
3	K14	sample
3	K15	sample
3	K16	sample
3	K17	sample
3	K18	sample
3	K19	sample
3	K20	sample
3	L02	sample
3	L03	sample
3	L04	sample
3	L05	sample
3	L06	sample
3	L07	sample
3	L08	sample
3	L09	sample
3	L10	sample
3	L11	sample
3	L12	sample
3	L13	sample
3	L14	sample
3	L15	sample
3	L16	sample
3	L17	sample
3	L18	sample
3	L19	sample
3	L20	sample
3	M02	sample
3	M03	sample
3	M04	sample
3	M05	sample
3	M06	sample
3	M07	sample
3	M08	sample
3	M09	sample
3	M10	sample
3	M11	sample
3	M12	sample
3	M13	sample
3	M14	sample
3	M15	sample
3	M16	sample
3	M17	sample
3	M18	sample
3	M19	sample
3	M20	sample
3	N02	sample
3	N03	sample
3	N04	sample
3	N05	sample
3	N06	sample
3	N07	sample
3	N08	sample
3	N09	sample
3	N10	sample
3	N11	sample
3	N12	sample
3	N13	sample
3	N14	sample
3	N15	sample
3	N16	sample
3	N17	sample
3	N18	sample
3	N19	sample
3	N20	sample
3	O02	sample
3	O03	sample
3	O04	sample
3	O05	sample
3	O06	sample
3	O07	sample
3	O08	sample
3	O09	sample
3	O10	sample
3	O11	sample
3	O12	sample
3	O13	sample
3	O14	sample
3	O15	sample
3	O16	sample
3	O17	sample
3	O18	sample
3	O19	sample
3	O20	sample
4	B02	sample
4	B03	sample
4	B04	sample
4	B05	sample
4	B06	sample
4	B07	sample
4	B08	sample
4	B09	sample
4	B10	sample
4	B11	sample
4	B13	sample
4	B14	sample
4	B15	sample
4	B16	sample
4	B17	sample
4	B18	sample
4	B19	sample
4	B20	sample
4	C02	sample
4	C03	sample
4	C04	sample
4	C05	sample
4	C06	sample
4	C07	sample
4	C08	sample
4	C09	sample
4	C10	sample
4	C11	sample
4	C13	sample
4	C14	sample
4	C15	sample
4	C16	sample
4	C17	sample
4	C18	sample
4	C19	sample
4	C20	sample
4	D02	sample
4	D03	sample
4	D04	sample
4	D05	sample
4	D06	sample
4	D07	sample
4	D08	sample
4	D09	sample
4	D10	sample
4	D11	sample
4	D13	sample
4	D14	sample
4	D15	sample
4	D16	sample
4	D17	sample
4	D18	sample
4	D19	sample
4	D20	sample
4	E02	sample
4	E03	sample
4	E04	sample
4	E05	sample
4	E06	sample
4	E07	sample
4	E08	sample
4	E09	sample
4	E10	sample
4	E11	sample
4	E13	sample
4	E14	sample
4	E15	sample
4	E16	sample
4	E17	sample
4	E18	sample
4	E19	sample
4	F02	sample
4	F03	sample
4	F04	sample
4	F05	sample
4	F06	sample
4	F07	sample
4	F08	sample
4	F09	sample
4	F10	sample
4	F11	sample
4	F13	sample
4	F14	sample
4	F15	sample
4	F16	sample
4	F17	sample
4	F18	sample
4	F19	sample
4	G02	sample
4	G03	sample
4	G04	sample
4	G05	sample
4	G06	sample
4	G07	sample
4	G08	sample
4	G09	sample
4	G10	sample
4	G11	sample
4	G13	sample
4	G14	sample
4	G15	sample
4	G16	sample
4	G17	sample
4	G18	sample
4	G19	sample
4	H02	sample
4	H03	sample
4	H04	sample
4	H05	sample
4	H06	sample
4	H07	sample
4	H08	sample
4	H09	sample
4	H10	sample
4	H11	sample
4	H13	sample
4	H14	sample
4	H15	sample
4	H16	sample
4	H17	sample
4	H18	sample
4	H19	sample
4	I02	sample
4	I03	sample
4	I04	sample
4	I05	sample
4	I06	sample
4	I07	sample
4	I08	sample
4	I09	sample
4	I10	sample
4	I11	sample
4	I13	sample
4	I14	sample
4	I15	sample
4	I16	sample
4	I17	sample
4	I18	sample
4	I19	sample
4	J02	sample
4	J03	sample
4	J04	sample
4	J05	sample
4	J06	sample
4	J07	sample
4	J08	sample
4	J09	sample
4	J10	sample
4	J11	sample
4	J13	sample
4	J14	sample
4	J15	sample
4	J16	sample
4	J17	sample
4	J18	sample
4	J19	sample
4	K02	sample
4	K03	sample
4	K04	sample
4	K05	sample
4	K06	sample
4	K07	sample
4	K08	sample
4	K09	sample
4	K10	sample
4	K11	sample
4	K13	sample
4	K14	sample
4	K15	sample
4	K16	sample
4	K17	sample
4	K18	sample
4	K19	sample
4	L02	sample
4	L03	sample
4	L04	sample
4	L05	sample
4	L06	sample
4	L07	sample
4	L08	sample
4	L09	sample
4	L10	sample
4	L11	sample
4	L13	sample
4	L14	sample
4	L15	sample
4	L16	sample
4	L17	sample
4	L18	sample
4	L19	sample
4	M02	sample
4	M03	sample
4	M04	sample
4	M05	sample
4	M06	sample
4	M07	sample
4	M08	sample
4	M09	sample
4	M10	sample
4	M11	sample
4	M13	sample
4	M14	sample
4	M15	sample
4	M16	sample
4	M17	sample
4	M18	sample
4	M19	sample
4	N02	sample
4	N03	sample
4	N04	sample
4	N05	sample
4	N06	sample
4	N07	sample
4	N08	sample
4	N09	sample
4	N10	sample
4	N11	sample
4	N13	sample
4	N14	sample
4	N15	sample
4	N16	sample
4	N17	sample
4	N18	sample
4	N19	sample
4	O02	sample
4	O03	sample
4	O04	sample
4	O05	sample
4	O06	sample
4	O07	sample
4	O08	sample
4	O09	sample
4	O10	sample
4	O11	sample
4	O13	sample
4	O14	sample
4	O15	sample
4	O16	sample
4	O17	sample
4	O18	sample
4	O19	sample
