Plate	Well2	GeneSymbol	Well	GeneID
2	O14	MIER1	O14	N/A
2	O15	MORF4L1	O15	N/A
2	O16	KDM5D	O16	N/A
2	O17	ASZ1	O17	N/A
2	O18	CHD5	O18	N/A
2	O19	ALKBH2	O19	N/A
2	O20	CHD6	O20	N/A
2	O21	RRP8	O21	N/A
3	B2	AAAS	B02	N/A
3	B3	PARG	B03	N/A
3	B4	NCOR1	B04	N/A
3	B5	JADE3	B05	N/A
3	B6	SFMBT1	B06	N/A
3	B7	SETDB1	B07	N/A
3	B8	HIST1H2AE	B08	N/A
3	B9	H2BFM	B09	N/A
3	B10	LMNA	B10	N/A
3	B11	MLH3	B11	N/A
3	B12	CTCF	B12	N/A
3	B13	CTCFL	B13	N/A
3	B14	NRDE2	B14	N/A
3	B15	KAT2A	B15	N/A
3	B16	SUMO2	B16	N/A
3	B17	PLAC8	B17	N/A
3	B18	TERT	B18	N/A
3	B19	MBD3	B19	N/A
3	B20	PRMT5	B20	N/A
3	C2	MED24	C02	N/A
3	C3	TNP1	C03	N/A
3	C4	SLC50A1	C04	N/A
3	C5	H2AFX	C05	N/A
3	C6	SATB2	C06	N/A
3	C7	SIRT1	C07	N/A
3	C8	INO80C	C08	N/A
3	C9	SMARCC1	C09	N/A
3	C10	TICRR	C10	N/A
3	C11	PHF21A	C11	N/A
3	C12	UBTF	C12	N/A
3	C13	H2AFY2	C13	N/A
3	C14	NUPL2	C14	N/A
3	C15	PRIMPOL	C15	N/A
3	C16	KAT8	C16	N/A
3	C17	ZNF451	C17	N/A
3	C18	CENPU	C18	N/A
3	C19	CBX1	C19	N/A
3	C20	ANP32E	C20	N/A
3	D2	ELP3	D02	N/A
3	D3	SNW1	D03	N/A
3	D4	TDRD12	D04	N/A
3	D5	ESCO1	D05	N/A
3	D6	GPX1	D06	N/A
3	D7	ZNF335	D07	N/A
3	D8	EZH1	D08	N/A
3	D9	LMNB1	D09	N/A
3	D10	HIST1H2AK	D10	N/A
3	D11	NUP88	D11	N/A
3	D12	CENPM	D12	N/A
3	D13	SIRT7	D13	N/A
3	D14	WRN	D14	N/A
3	D15	MAEL	D15	N/A
3	D16	MBD3L3	D16	N/A
3	D17	H2AFY	D17	N/A
3	D18	GSG2	D18	N/A
3	D19	SPI1	D19	N/A
3	D20	PPHLN1	D20	N/A
3	E2	SUDS3	E02	N/A
3	E3	CLP1	E03	N/A
3	E4	MORC1	E04	N/A
3	E5	KDM6B	E05	N/A
3	E6	CCNT1	E06	N/A
3	E7	AEBP2	E07	N/A
3	E8	ARID3C	E08	N/A
3	E9	PIWIL4	E09	N/A
3	E10	HDAC5	E10	N/A
3	E11	HMGN5	E11	N/A
3	E12	MBD5	E12	N/A
3	E13	CELF1	E13	N/A
3	E14	BRCC3	E14	N/A
3	E15	SFR1	E15	N/A
3	E16	TAF1B	E16	N/A
3	E17	PCGF3	E17	N/A
3	E18	TSPYL6	E18	N/A
3	E19	ARID2	E19	N/A
3	E20	APTX	E20	N/A
3	F2	ZC3H12A	F02	N/A
3	F3	RAG1	F03	N/A
3	F4	PHF19	F04	N/A
3	F5	CHD4	F05	N/A
3	F6	APOBEC2	F06	N/A
3	F7	MEAF6	F07	N/A
3	F8	SETSIP	F08	N/A
3	F9	FANCC	F09	N/A
3	F10	POLR1A	F10	N/A
3	F11	POLR2K	F11	N/A
3	F12	DDB1	F12	N/A
3	F13	TLK1	F13	N/A
3	F14	BMP4	F14	N/A
3	F15	MBD6	F15	N/A
3	F16	DDB2	F16	N/A
3	F17	RYBP	F17	N/A
3	F18	HMGN3	F18	N/A
3	F19	PHC2	F19	N/A
3	F20	TPR	F20	N/A
3	G2	FAM208A	G02	N/A
3	G3	ZC3H7A	G03	N/A
3	G4	PADI3	G04	N/A
3	G5	SAP30BP	G05	N/A
3	G6	ALKBH1	G06	N/A
3	G7	CTBP2	G07	N/A
3	G8	BANF1	G08	N/A
3	G9	CNOT1	G09	N/A
3	G10	WTIP	G10	N/A
3	G11	TOP1MT	G11	N/A
3	G12	SMARCA1	G12	N/A
3	G13	CBX7	G13	N/A
3	G14	IFI16	G14	N/A
3	G15	PRDM12	G15	N/A
3	G16	POLR2I	G16	N/A
3	G17	SS18L1	G17	N/A
3	G18	CNOT8	G18	N/A
3	G19	DPF2	G19	N/A
3	G20	TRRAP	G20	N/A
3	H2	FAM175A	H02	N/A
3	H3	NCAPD2	H03	N/A
3	H4	SAP130	H04	N/A
3	H5	NAA60	H05	N/A
3	H6	CENPQ	H06	N/A
3	H7	H3F3A	H07	N/A
3	H8	ZCCHC11	H08	N/A
3	H9	EIF6	H09	N/A
3	H10	IPO8	H10	N/A
3	H11	SMC3	H11	N/A
3	H12	CHD1	H12	N/A
3	H13	MIS18BP1	H13	N/A
3	H14	PARPBP	H14	N/A
3	H15	RAD50	H15	N/A
3	H16	SIRT2	H16	N/A
3	H17	KANSL2	H17	N/A
3	H18	MORF4L2	H18	N/A
3	H19	BAP1	H19	N/A
3	H20	FXR1	H20	N/A
3	I2	RAD21	I02	N/A
3	I3	SETD7	I03	N/A
3	I4	TRIM28	I04	N/A
3	I5	TNRC6C	I05	N/A
3	I6	HIRIP3	I06	N/A
3	I7	CDC45	I07	N/A
3	I8	ELL	I08	N/A
3	I9	USP16	I09	N/A
3	I10	MAP2K1	I10	N/A
3	I11	HDAC2	I11	N/A
3	I12	NUP58	I12	N/A
3	I13	TRIP12	I13	N/A
3	I14	CDK9	I14	N/A
3	I15	NASP	I15	N/A
3	I16	CENPK	I16	N/A
3	I17	RNF169	I17	N/A
3	I18	SET	I18	N/A
